date,timestamp,resp_value
2026-02-19,1771461960000,18.0
2026-02-19,1771462080000,15.0
2026-02-19,1771462200000,17.0
2026-02-19,1771462320000,16.0
2026-02-19,1771462440000,15.0
2026-02-19,1771462560000,16.0
2026-02-19,1771462680000,16.0
2026-02-19,1771462800000,17.0
2026-02-19,1771462920000,15.0
2026-02-19,1771463040000,15.0
2026-02-19,1771463160000,15.0
2026-02-19,1771463280000,14.0
2026-02-19,1771463400000,14.0
2026-02-19,1771463520000,14.0
2026-02-19,1771463640000,15.0
2026-02-19,1771463760000,15.0
2026-02-19,1771463880000,16.0
2026-02-19,1771464000000,15.0
2026-02-19,1771464120000,14.0
2026-02-19,1771464240000,17.0
2026-02-19,1771464360000,18.0
2026-02-19,1771464480000,16.0
2026-02-19,1771464600000,16.0
2026-02-19,1771464720000,15.0
2026-02-19,1771464840000,16.0
2026-02-19,1771464960000,14.0
2026-02-19,1771465080000,14.0
2026-02-19,1771465200000,14.0
2026-02-19,1771465320000,14.0
2026-02-19,1771465440000,15.0
2026-02-19,1771465560000,15.0
2026-02-19,1771465680000,15.0
2026-02-19,1771465800000,15.0
2026-02-19,1771465920000,15.0
2026-02-19,1771466040000,16.0
2026-02-19,1771466160000,16.0
2026-02-19,1771466280000,14.0
2026-02-19,1771466400000,15.0
2026-02-19,1771466520000,14.0
2026-02-19,1771466640000,14.0
2026-02-19,1771466760000,15.0
2026-02-19,1771466880000,15.0
2026-02-19,1771467000000,14.0
2026-02-19,1771467120000,15.0
2026-02-19,1771467240000,15.0
2026-02-19,1771467360000,15.0
2026-02-19,1771467480000,16.0
2026-02-19,1771467600000,19.0
2026-02-19,1771467720000,20.0
2026-02-19,1771467840000,21.0
2026-02-19,1771467960000,20.0
2026-02-19,1771468080000,19.0
2026-02-19,1771468200000,19.0
2026-02-19,1771468320000,19.0
2026-02-19,1771468440000,18.0
2026-02-19,1771468560000,19.0
2026-02-19,1771468680000,16.0
2026-02-19,1771468800000,17.0
2026-02-19,1771468920000,17.0
2026-02-19,1771469040000,16.0
2026-02-19,1771469160000,15.0
2026-02-19,1771469280000,16.0
2026-02-19,1771469400000,13.0
2026-02-19,1771469520000,15.0
2026-02-19,1771469640000,18.0
2026-02-19,1771469760000,17.0
2026-02-19,1771469880000,15.0
2026-02-19,1771470000000,16.0
2026-02-19,1771470120000,21.0
2026-02-19,1771470240000,14.0
2026-02-19,1771470360000,14.0
2026-02-19,1771470480000,15.0
2026-02-19,1771470600000,15.0
2026-02-19,1771470720000,14.0
2026-02-19,1771470840000,14.0
2026-02-19,1771470960000,15.0
2026-02-19,1771471080000,14.0
2026-02-19,1771471200000,15.0
2026-02-19,1771471320000,15.0
2026-02-19,1771471440000,15.0
2026-02-19,1771471560000,15.0
2026-02-19,1771471680000,15.0
2026-02-19,1771471800000,15.0
2026-02-19,1771471920000,14.0
2026-02-19,1771472040000,14.0
2026-02-19,1771472160000,14.0
2026-02-19,1771472280000,15.0
2026-02-19,1771472400000,16.0
2026-02-19,1771472520000,16.0
2026-02-19,1771472640000,13.0
2026-02-19,1771472760000,13.0
2026-02-19,1771472880000,14.0
2026-02-19,1771473000000,14.0
2026-02-19,1771473120000,12.0
2026-02-19,1771473240000,12.0
2026-02-19,1771473360000,13.0
2026-02-19,1771473480000,13.0
2026-02-19,1771473600000,14.0
2026-02-19,1771473720000,13.0
2026-02-19,1771473840000,14.0
2026-02-19,1771473960000,14.0
2026-02-19,1771474080000,13.0
2026-02-19,1771474200000,12.0
2026-02-19,1771474320000,13.0
2026-02-19,1771474440000,14.0
2026-02-19,1771474560000,15.0
2026-02-19,1771474680000,16.0
2026-02-19,1771474800000,16.0
2026-02-19,1771474920000,15.0
2026-02-19,1771475040000,15.0
2026-02-19,1771475160000,15.0
2026-02-19,1771475280000,13.0
2026-02-19,1771475400000,14.0
2026-02-19,1771475520000,14.0
2026-02-19,1771475640000,13.0
2026-02-19,1771475760000,14.0
2026-02-19,1771475880000,14.0
2026-02-19,1771476000000,14.0
2026-02-19,1771476120000,12.0
2026-02-19,1771476240000,13.0
2026-02-19,1771476360000,13.0
2026-02-19,1771476480000,14.0
2026-02-19,1771476600000,14.0
2026-02-19,1771476720000,14.0
2026-02-19,1771476840000,13.0
2026-02-19,1771476960000,14.0
2026-02-19,1771477080000,12.0
2026-02-19,1771477200000,13.0
2026-02-19,1771477320000,13.0
2026-02-19,1771477440000,13.0
2026-02-19,1771477560000,12.0
2026-02-19,1771477680000,13.0
2026-02-19,1771477800000,13.0
2026-02-19,1771477920000,13.0
2026-02-19,1771478040000,13.0
2026-02-19,1771478160000,13.0
2026-02-19,1771478280000,13.0
2026-02-19,1771478400000,13.0
2026-02-19,1771478520000,13.0
2026-02-19,1771478640000,14.0
2026-02-19,1771478760000,13.0
2026-02-19,1771478880000,13.0
2026-02-19,1771479000000,13.0
2026-02-19,1771479120000,14.0
2026-02-19,1771479240000,14.0
2026-02-19,1771479360000,13.0
2026-02-19,1771479480000,13.0
2026-02-19,1771479600000,15.0
2026-02-19,1771479720000,14.0
2026-02-19,1771479840000,13.0
2026-02-19,1771479960000,14.0
2026-02-19,1771480080000,16.0
2026-02-19,1771480200000,15.0
2026-02-19,1771480320000,14.0
2026-02-19,1771480440000,15.0
2026-02-19,1771480560000,14.0
2026-02-19,1771480680000,15.0
2026-02-19,1771480800000,15.0
2026-02-19,1771480920000,15.0
2026-02-19,1771481040000,15.0
2026-02-19,1771481160000,13.0
2026-02-19,1771481280000,14.0
2026-02-19,1771481400000,12.0
2026-02-19,1771481520000,13.0
2026-02-19,1771481640000,14.0
2026-02-19,1771481760000,14.0
2026-02-19,1771481880000,13.0
2026-02-19,1771482000000,14.0
2026-02-19,1771482120000,14.0
2026-02-19,1771482240000,14.0
2026-02-19,1771482360000,12.0
2026-02-19,1771482480000,13.0
2026-02-19,1771482600000,14.0
2026-02-19,1771482720000,14.0
2026-02-19,1771482840000,14.0
2026-02-19,1771482960000,13.0
2026-02-19,1771483080000,14.0
2026-02-19,1771483200000,14.0
2026-02-19,1771483320000,14.0
2026-02-19,1771483440000,14.0
2026-02-19,1771483560000,14.0
2026-02-19,1771483680000,14.0
2026-02-19,1771483800000,14.0
2026-02-19,1771483920000,17.0
2026-02-19,1771484040000,17.0
2026-02-19,1771484160000,15.0
2026-02-19,1771484280000,18.0
2026-02-19,1771484400000,16.0
2026-02-19,1771484520000,17.0
2026-02-19,1771484640000,18.0
2026-02-19,1771484760000,17.0
2026-02-19,1771484880000,18.0
2026-02-20,1771542364000,14.0
2026-02-20,1771542480000,15.0
2026-02-20,1771542600000,17.0
2026-02-20,1771542720000,15.0
2026-02-20,1771542840000,14.0
2026-02-20,1771542960000,14.0
2026-02-20,1771543080000,14.0
2026-02-20,1771543200000,14.0
2026-02-20,1771543320000,14.0
2026-02-20,1771543440000,13.0
2026-02-20,1771543560000,15.0
2026-02-20,1771543680000,14.0
2026-02-20,1771543800000,15.0
2026-02-20,1771543920000,15.0
2026-02-20,1771544040000,13.0
2026-02-20,1771544160000,13.0
2026-02-20,1771544280000,14.0
2026-02-20,1771544400000,15.0
2026-02-20,1771544520000,15.0
2026-02-20,1771544640000,14.0
2026-02-20,1771544760000,14.0
2026-02-20,1771544880000,14.0
2026-02-20,1771545000000,13.0
2026-02-20,1771545120000,15.0
2026-02-20,1771545240000,15.0
2026-02-20,1771545360000,13.0
2026-02-20,1771545480000,15.0
2026-02-20,1771545600000,13.0
2026-02-20,1771545720000,15.0
2026-02-20,1771545840000,15.0
2026-02-20,1771545960000,14.0
2026-02-20,1771546080000,16.0
2026-02-20,1771546200000,15.0
2026-02-20,1771546320000,14.0
2026-02-20,1771546440000,15.0
2026-02-20,1771546560000,14.0
2026-02-20,1771546680000,15.0
2026-02-20,1771546800000,16.0
2026-02-20,1771546920000,15.0
2026-02-20,1771547040000,16.0
2026-02-20,1771547160000,16.0
2026-02-20,1771547280000,15.0
2026-02-20,1771547400000,16.0
2026-02-20,1771547520000,16.0
2026-02-20,1771547640000,17.0
2026-02-20,1771547760000,16.0
2026-02-20,1771547880000,16.0
2026-02-20,1771548000000,15.0
2026-02-20,1771548120000,17.0
2026-02-20,1771548240000,16.0
2026-02-20,1771548360000,15.0
2026-02-20,1771548480000,15.0
2026-02-20,1771548600000,18.0
2026-02-20,1771548720000,15.0
2026-02-20,1771548840000,18.0
2026-02-20,1771548960000,16.0
2026-02-20,1771549080000,14.0
2026-02-20,1771549200000,15.0
2026-02-20,1771549320000,15.0
2026-02-20,1771549440000,14.0
2026-02-20,1771549560000,14.0
2026-02-20,1771549680000,15.0
2026-02-20,1771549800000,15.0
2026-02-20,1771549920000,15.0
2026-02-20,1771550040000,16.0
2026-02-20,1771550160000,15.0
2026-02-20,1771550280000,15.0
2026-02-20,1771550400000,15.0
2026-02-20,1771550520000,15.0
2026-02-20,1771550640000,15.0
2026-02-20,1771550760000,16.0
2026-02-20,1771550880000,13.0
2026-02-20,1771551000000,14.0
2026-02-20,1771551120000,14.0
2026-02-20,1771551240000,14.0
2026-02-20,1771551360000,13.0
2026-02-20,1771551480000,14.0
2026-02-20,1771551600000,14.0
2026-02-20,1771551720000,14.0
2026-02-20,1771551840000,13.0
2026-02-20,1771551960000,14.0
2026-02-20,1771552080000,14.0
2026-02-20,1771552200000,14.0
2026-02-20,1771552320000,15.0
2026-02-20,1771552440000,16.0
2026-02-20,1771552560000,16.0
2026-02-20,1771552680000,14.0
2026-02-20,1771552800000,14.0
2026-02-20,1771552920000,13.0
2026-02-20,1771553040000,14.0
2026-02-20,1771553160000,14.0
2026-02-20,1771553280000,14.0
2026-02-20,1771553400000,14.0
2026-02-20,1771553520000,12.0
2026-02-20,1771553640000,15.0
2026-02-20,1771553760000,12.0
2026-02-20,1771553880000,16.0
2026-02-20,1771554000000,12.0
2026-02-20,1771554120000,13.0
2026-02-20,1771554240000,14.0
2026-02-20,1771554360000,14.0
2026-02-20,1771554480000,13.0
2026-02-20,1771554600000,14.0
2026-02-20,1771554720000,15.0
2026-02-20,1771554840000,17.0
2026-02-20,1771554960000,18.0
2026-02-20,1771555080000,15.0
2026-02-20,1771555200000,16.0
2026-02-20,1771555320000,17.0
2026-02-20,1771555440000,16.0
2026-02-20,1771555560000,16.0
2026-02-20,1771555680000,17.0
2026-02-20,1771555800000,17.0
2026-02-20,1771555920000,19.0
2026-02-20,1771556040000,19.0
2026-02-20,1771556160000,19.0
2026-02-20,1771556280000,18.0
2026-02-20,1771556400000,18.0
2026-02-20,1771556520000,18.0
2026-02-20,1771556640000,18.0
2026-02-20,1771556760000,16.0
2026-02-20,1771556880000,18.0
2026-02-20,1771557000000,16.0
2026-02-20,1771557120000,14.0
2026-02-20,1771557240000,15.0
2026-02-20,1771557360000,14.0
2026-02-20,1771557480000,13.0
2026-02-20,1771557600000,14.0
2026-02-20,1771557720000,13.0
2026-02-20,1771557840000,14.0
2026-02-20,1771557960000,15.0
2026-02-20,1771558080000,14.0
2026-02-20,1771558200000,13.0
2026-02-20,1771558320000,12.0
2026-02-20,1771558440000,13.0
2026-02-20,1771558560000,14.0
2026-02-20,1771558680000,14.0
2026-02-20,1771558800000,14.0
2026-02-20,1771558920000,14.0
2026-02-20,1771559040000,14.0
2026-02-20,1771559160000,17.0
2026-02-20,1771559280000,14.0
2026-02-20,1771559400000,14.0
2026-02-20,1771559520000,15.0
2026-02-20,1771559640000,14.0
2026-02-20,1771559760000,14.0
2026-02-20,1771559880000,15.0
2026-02-20,1771560000000,15.0
2026-02-20,1771560120000,15.0
2026-02-20,1771560240000,14.0
2026-02-20,1771560360000,14.0
2026-02-20,1771560480000,15.0
2026-02-20,1771560600000,14.0
2026-02-20,1771560720000,14.0
2026-02-20,1771560840000,14.0
2026-02-20,1771560960000,14.0
2026-02-20,1771561080000,14.0
2026-02-20,1771561200000,14.0
2026-02-20,1771561320000,13.0
2026-02-20,1771561440000,14.0
2026-02-20,1771561560000,13.0
2026-02-20,1771561680000,14.0
2026-02-20,1771561800000,13.0
2026-02-20,1771561920000,16.0
2026-02-20,1771562040000,17.0
2026-02-20,1771562160000,17.0
2026-02-20,1771562280000,15.0
2026-02-20,1771562400000,15.0
2026-02-20,1771562520000,16.0
2026-02-20,1771562640000,15.0
2026-02-20,1771562760000,16.0
2026-02-20,1771562880000,17.0
2026-02-20,1771563000000,15.0
2026-02-20,1771563120000,15.0
2026-02-20,1771563240000,16.0
2026-02-20,1771563360000,17.0
2026-02-20,1771563480000,17.0
2026-02-20,1771563600000,18.0
2026-02-20,1771563720000,17.0
2026-02-20,1771563840000,18.0
2026-02-20,1771563960000,18.0
2026-02-20,1771564080000,20.0
2026-02-20,1771564200000,19.0
2026-02-20,1771564320000,19.0
2026-02-20,1771564440000,20.0
2026-02-20,1771564560000,21.0
2026-02-20,1771564680000,20.0
2026-02-20,1771564800000,16.0
2026-02-20,1771564920000,14.0
2026-02-20,1771565040000,14.0
2026-02-20,1771565160000,13.0
2026-02-20,1771565280000,15.0
2026-02-20,1771565400000,14.0
2026-02-20,1771565520000,13.0
2026-02-20,1771565640000,14.0
2026-02-20,1771565760000,13.0
2026-02-20,1771565880000,13.0
2026-02-20,1771566000000,13.0
2026-02-20,1771566120000,13.0
2026-02-20,1771566240000,14.0
2026-02-21,1771628293000,14.0
2026-02-21,1771628400000,16.0
2026-02-21,1771628520000,15.0
2026-02-21,1771628640000,16.0
2026-02-21,1771628760000,16.0
2026-02-21,1771628880000,16.0
2026-02-21,1771629000000,15.0
2026-02-21,1771629120000,15.0
2026-02-21,1771629240000,14.0
2026-02-21,1771629360000,14.0
2026-02-21,1771629480000,14.0
2026-02-21,1771629600000,17.0
2026-02-21,1771629720000,14.0
2026-02-21,1771629840000,14.0
2026-02-21,1771629960000,15.0
2026-02-21,1771630080000,15.0
2026-02-21,1771630200000,15.0
2026-02-21,1771630320000,16.0
2026-02-21,1771630440000,14.0
2026-02-21,1771630560000,14.0
2026-02-21,1771630680000,15.0
2026-02-21,1771630800000,16.0
2026-02-21,1771630920000,15.0
2026-02-21,1771631040000,14.0
2026-02-21,1771631160000,15.0
2026-02-21,1771631280000,15.0
2026-02-21,1771631400000,14.0
2026-02-21,1771631520000,15.0
2026-02-21,1771631640000,14.0
2026-02-21,1771631760000,15.0
2026-02-21,1771631880000,15.0
2026-02-21,1771632000000,16.0
2026-02-21,1771632120000,17.0
2026-02-21,1771632240000,14.0
2026-02-21,1771632360000,14.0
2026-02-21,1771632480000,13.0
2026-02-21,1771632600000,14.0
2026-02-21,1771632720000,17.0
2026-02-21,1771632840000,16.0
2026-02-21,1771632960000,17.0
2026-02-21,1771633080000,18.0
2026-02-21,1771633200000,17.0
2026-02-21,1771633320000,17.0
2026-02-21,1771633440000,16.0
2026-02-21,1771633560000,14.0
2026-02-21,1771633680000,14.0
2026-02-21,1771633800000,14.0
2026-02-21,1771633920000,15.0
2026-02-21,1771634040000,14.0
2026-02-21,1771634160000,14.0
2026-02-21,1771634280000,14.0
2026-02-21,1771634400000,15.0
2026-02-21,1771634520000,15.0
2026-02-21,1771634640000,16.0
2026-02-21,1771634760000,15.0
2026-02-21,1771634880000,15.0
2026-02-21,1771635000000,15.0
2026-02-21,1771635120000,15.0
2026-02-21,1771635240000,16.0
2026-02-21,1771635360000,15.0
2026-02-21,1771635480000,16.0
2026-02-21,1771635600000,14.0
2026-02-21,1771635720000,15.0
2026-02-21,1771635840000,13.0
2026-02-21,1771635960000,14.0
2026-02-21,1771636080000,15.0
2026-02-21,1771636200000,13.0
2026-02-21,1771636320000,12.0
2026-02-21,1771636440000,14.0
2026-02-21,1771636560000,14.0
2026-02-21,1771636680000,15.0
2026-02-21,1771636800000,13.0
2026-02-21,1771636920000,14.0
2026-02-21,1771637040000,14.0
2026-02-21,1771637160000,13.0
2026-02-21,1771637280000,14.0
2026-02-21,1771637400000,13.0
2026-02-21,1771637520000,16.0
2026-02-21,1771637640000,16.0
2026-02-21,1771637760000,13.0
2026-02-21,1771637880000,15.0
2026-02-21,1771638000000,14.0
2026-02-21,1771638120000,15.0
2026-02-21,1771638240000,15.0
2026-02-21,1771638360000,16.0
2026-02-21,1771638480000,15.0
2026-02-21,1771638600000,14.0
2026-02-21,1771638720000,14.0
2026-02-21,1771638840000,16.0
2026-02-21,1771638960000,15.0
2026-02-21,1771639080000,16.0
2026-02-21,1771639200000,17.0
2026-02-21,1771639320000,15.0
2026-02-21,1771639440000,15.0
2026-02-21,1771639560000,15.0
2026-02-21,1771639680000,16.0
2026-02-21,1771639800000,16.0
2026-02-21,1771639920000,17.0
2026-02-21,1771640040000,15.0
2026-02-21,1771640160000,16.0
2026-02-21,1771640280000,16.0
2026-02-21,1771640400000,16.0
2026-02-21,1771640520000,16.0
2026-02-21,1771640640000,16.0
2026-02-21,1771640760000,16.0
2026-02-21,1771640880000,17.0
2026-02-21,1771641000000,18.0
2026-02-21,1771641120000,18.0
2026-02-21,1771641240000,17.0
2026-02-21,1771641360000,15.0
2026-02-21,1771641480000,15.0
2026-02-21,1771641600000,18.0
2026-02-21,1771641720000,19.0
2026-02-21,1771641840000,21.0
2026-02-21,1771641960000,20.0
2026-02-21,1771642080000,21.0
2026-02-21,1771642200000,20.0
2026-02-21,1771642320000,19.0
2026-02-21,1771642440000,18.0
2026-02-21,1771642560000,18.0
2026-02-21,1771642680000,19.0
2026-02-21,1771642800000,18.0
2026-02-21,1771642920000,17.0
2026-02-21,1771643040000,18.0
2026-02-21,1771643160000,19.0
2026-02-21,1771643280000,14.0
2026-02-21,1771643400000,15.0
2026-02-21,1771643520000,16.0
2026-02-21,1771643640000,15.0
2026-02-21,1771643760000,14.0
2026-02-21,1771643880000,15.0
2026-02-21,1771644000000,17.0
2026-02-21,1771644120000,18.0
2026-02-21,1771644240000,16.0
2026-02-21,1771644360000,16.0
2026-02-21,1771644480000,16.0
2026-02-21,1771644600000,14.0
2026-02-21,1771644720000,13.0
2026-02-21,1771644840000,15.0
2026-02-21,1771644960000,15.0
2026-02-21,1771645080000,16.0
2026-02-21,1771645200000,18.0
2026-02-21,1771645320000,15.0
2026-02-21,1771645440000,13.0
2026-02-21,1771645560000,13.0
2026-02-21,1771645680000,13.0
2026-02-21,1771645800000,14.0
2026-02-21,1771645920000,14.0
2026-02-21,1771646040000,14.0
2026-02-21,1771646160000,13.0
2026-02-21,1771646280000,14.0
2026-02-21,1771646400000,15.0
2026-02-21,1771646520000,16.0
2026-02-21,1771646640000,16.0
2026-02-21,1771646760000,13.0
2026-02-21,1771646880000,13.0
2026-02-21,1771647000000,15.0
2026-02-21,1771647120000,17.0
2026-02-21,1771647240000,15.0
2026-02-21,1771647360000,17.0
2026-02-21,1771647480000,16.0
2026-02-21,1771647600000,17.0
2026-02-21,1771647720000,18.0
2026-02-21,1771647840000,16.0
2026-02-21,1771647960000,17.0
2026-02-21,1771648080000,18.0
2026-02-21,1771648200000,14.0
2026-02-21,1771648320000,14.0
2026-02-21,1771648440000,14.0
2026-02-21,1771648560000,15.0
2026-02-21,1771648680000,14.0
2026-02-21,1771648800000,15.0
2026-02-21,1771648920000,14.0
2026-02-21,1771649040000,14.0
2026-02-21,1771649160000,14.0
2026-02-21,1771649280000,15.0
2026-02-21,1771649400000,15.0
2026-02-21,1771649520000,14.0
2026-02-21,1771649640000,12.0
2026-02-21,1771649760000,14.0
2026-02-21,1771649880000,17.0
2026-02-21,1771650000000,16.0
2026-02-21,1771650120000,18.0
2026-02-21,1771650240000,15.0
2026-02-21,1771650360000,14.0
2026-02-21,1771650480000,16.0
2026-02-21,1771650600000,18.0
2026-02-21,1771650720000,16.0
2026-02-21,1771650840000,17.0
2026-02-21,1771650960000,17.0
2026-02-21,1771651080000,17.0
2026-02-21,1771651200000,19.0
2026-02-21,1771651320000,19.0
2026-02-21,1771651440000,19.0
2026-02-21,1771651560000,18.0
2026-02-21,1771651680000,19.0
2026-02-21,1771651800000,17.0
2026-02-21,1771651920000,14.0
2026-02-21,1771652040000,14.0
2026-02-21,1771652160000,16.0
2026-02-21,1771652280000,16.0
2026-02-21,1771652400000,14.0
2026-02-21,1771652520000,12.0
2026-02-21,1771652640000,13.0
2026-02-21,1771652760000,19.0
2026-02-21,1771652880000,12.0
2026-02-21,1771653000000,11.0
2026-02-21,1771653120000,12.0
2026-02-21,1771653240000,15.0
2026-02-21,1771653360000,18.0
2026-02-21,1771653480000,14.0
2026-02-21,1771653600000,14.0
2026-02-21,1771653720000,15.0
2026-02-21,1771653840000,12.0
2026-02-21,1771653960000,15.0
2026-02-21,1771654080000,14.0
2026-02-21,1771654200000,14.0
2026-02-21,1771654320000,15.0
2026-02-21,1771654440000,14.0
2026-02-21,1771654560000,14.0
2026-02-21,1771654680000,14.0
2026-02-21,1771654800000,13.0
2026-02-21,1771654920000,15.0
2026-02-21,1771655040000,17.0
2026-02-21,1771655160000,14.0
2026-02-21,1771655280000,13.0
2026-02-21,1771655400000,16.0
2026-02-21,1771655520000,16.0
2026-02-21,1771655640000,17.0
2026-02-21,1771655760000,16.0
2026-02-21,1771655880000,14.0
2026-02-21,1771656000000,14.0
2026-02-21,1771656120000,14.0
2026-02-21,1771656240000,15.0
2026-02-21,1771656360000,15.0
2026-02-21,1771656480000,14.0
2026-02-21,1771656600000,14.0
2026-02-21,1771656720000,15.0
2026-02-21,1771656840000,15.0
2026-02-21,1771656960000,16.0
2026-02-21,1771657080000,15.0
2026-02-21,1771657200000,18.0
2026-02-21,1771657320000,12.0
2026-02-21,1771657440000,13.0
2026-02-21,1771657560000,13.0
2026-02-21,1771657680000,14.0
2026-02-21,1771657800000,13.0
2026-02-21,1771657920000,13.0
2026-02-21,1771658040000,16.0
2026-02-21,1771658160000,16.0
2026-02-21,1771658280000,16.0
2026-02-21,1771658400000,12.0
2026-02-21,1771658520000,13.0
2026-02-21,1771658640000,14.0
2026-02-22,1771719294000,18.0
2026-02-22,1771719360000,16.0
2026-02-22,1771719480000,16.0
2026-02-22,1771719600000,17.0
2026-02-22,1771719720000,16.0
2026-02-22,1771719840000,17.0
2026-02-22,1771719960000,16.0
2026-02-22,1771720080000,15.0
2026-02-22,1771720200000,16.0
2026-02-22,1771720320000,17.0
2026-02-22,1771720440000,16.0
2026-02-22,1771720560000,15.0
2026-02-22,1771720680000,16.0
2026-02-22,1771720800000,15.0
2026-02-22,1771720920000,16.0
2026-02-22,1771721040000,16.0
2026-02-22,1771721160000,16.0
2026-02-22,1771721280000,15.0
2026-02-22,1771721400000,16.0
2026-02-22,1771721520000,16.0
2026-02-22,1771721640000,16.0
2026-02-22,1771721760000,17.0
2026-02-22,1771721880000,16.0
2026-02-22,1771722000000,16.0
2026-02-22,1771722120000,16.0
2026-02-22,1771722240000,17.0
2026-02-22,1771722360000,16.0
2026-02-22,1771722480000,20.0
2026-02-22,1771722600000,18.0
2026-02-22,1771722720000,17.0
2026-02-22,1771722840000,20.0
2026-02-22,1771722960000,21.0
2026-02-22,1771723080000,19.0
2026-02-22,1771723200000,19.0
2026-02-22,1771723320000,18.0
2026-02-22,1771723440000,20.0
2026-02-22,1771723560000,16.0
2026-02-22,1771723680000,17.0
2026-02-22,1771723800000,16.0
